"Notes"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"#Anemias (D50-D64)"	"GR113-045"	"2002"	"2002"	4614	287625193	1.6
	"#Anemias (D50-D64)"	"GR113-045"	"2003"	"2003"	4594	290107933	1.6
	"#Anemias (D50-D64)"	"GR113-045"	"2004"	"2004"	4575	292805298	1.6
	"#Anemias (D50-D64)"	"GR113-045"	"2005"	"2005"	4624	295516599	1.6
	"#Anemias (D50-D64)"	"GR113-045"	"2006"	"2006"	3996	298379912	1.3
	"#Anemias (D50-D64)"	"GR113-045"	"2007"	"2007"	4829	301231207	1.6
	"#Anemias (D50-D64)"	"GR113-045"	"2008"	"2008"	5018	304093966	1.7
	"#Anemias (D50-D64)"	"GR113-045"	"2009"	"2009"	4686	306771529	1.5
	"#Anemias (D50-D64)"	"GR113-045"	"2010"	"2010"	4852	308745538	1.6
	"#Anemias (D50-D64)"	"GR113-045"	"2011"	"2011"	4988	311591917	1.6
	"#Anemias (D50-D64)"	"GR113-045"	"2012"	"2012"	5190	313914040	1.7
	"#Anemias (D50-D64)"	"GR113-045"	"2013"	"2013"	4894	316128839	1.5
	"#Anemias (D50-D64)"	"GR113-045"	"2014"	"2014"	5219	318857056	1.6
	"#Anemias (D50-D64)"	"GR113-045"	"2015"	"2015"	5250	321418820	1.6
	"#Anemias (D50-D64)"	"GR113-045"	"2016"	"2016"	5349	323127513	1.7
	"#Anemias (D50-D64)"	"GR113-045"	"2017"	"2017"	5382	325719178	1.7
	"#Anemias (D50-D64)"	"GR113-045"	"2018"	"2018"	5262	327167434	1.6
	"#Anemias (D50-D64)"	"GR113-045"	"2019"	"2019"	5254	328239523	1.6
	"#Anemias (D50-D64)"	"GR113-045"	"2020 "	"2020"	5633	329484123	1.7
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"1999"	"1999"	68399	279040168	24.5
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"2000"	"2000"	69301	281421906	24.6
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"2001"	"2001"	71372	284968955	25.0
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"2002"	"2002"	73249	287625193	25.5
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"2003"	"2003"	74219	290107933	25.6
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"2004"	"2004"	73138	292805298	25.0
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"2005"	"2005"	75119	295516599	25.4
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"2006"	"2006"	72449	298379912	24.3
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"2007"	"2007"	71382	301231207	23.7
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"2008"	"2008"	70553	304093966	23.2
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"2009"	"2009"	68705	306771529	22.4
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"2010"	"2010"	69071	308745538	22.4
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"2011"	"2011"	73831	311591917	23.7
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"2012"	"2012"	73932	313914040	23.6
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"2013"	"2013"	75578	316128839	23.9
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"2014"	"2014"	76488	318857056	24.0
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"2015"	"2015"	79535	321418820	24.7
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"2016"	"2016"	80058	323127513	24.8
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"2017"	"2017"	83564	325719178	25.7
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"2018"	"2018"	84946	327167434	26.0
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"2019"	"2019"	87647	328239523	26.7
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"2020 "	"2020"	102188	329484123	31.0
	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	"1999"	"1999"	4289	279040168	1.5
	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	"2000"	"2000"	4242	281421906	1.5
	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	"2001"	"2001"	3704	284968955	1.3
	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	"2002"	"2002"	3779	287625193	1.3
	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	"2003"	"2003"	3338	290107933	1.2
	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	"2004"	"2004"	3019	292805298	1.0
	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	"2005"	"2005"	3183	295516599	1.1
	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	"2006"	"2006"	2556	298379912	0.9
	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	"2007"	"2007"	2852	301231207	0.9
	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	"2008"	"2008"	2976	304093966	1.0
	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	"2009"	"2009"	2850	306771529	0.9
	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	"2010"	"2010"	2948	308745538	1.0
	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	"2011"	"2011"	3191	311591917	1.0
	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	"2012"	"2012"	3195	313914040	1.0
	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	"2013"	"2013"	3382	316128839	1.1
	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	"2014"	"2014"	4110	318857056	1.3
	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	"2015"	"2015"	5222	321418820	1.6
	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	"2016"	"2016"	6329	323127513	2.0
	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	"2017"	"2017"	7846	325719178	2.4
	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	"2018"	"2018"	9619	327167434	2.9
	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	"2019"	"2019"	11570	328239523	3.5
	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	"2020 "	"2020"	14682	329484123	4.5
	"Malnutrition (E40-E46)"	"GR113-048"	"1999"	"1999"	3985	279040168	1.4
	"Malnutrition (E40-E46)"	"GR113-048"	"2000"	"2000"	3926	281421906	1.4
	"Malnutrition (E40-E46)"	"GR113-048"	"2001"	"2001"	3454	284968955	1.2
	"Malnutrition (E40-E46)"	"GR113-048"	"2002"	"2002"	3510	287625193	1.2
	"Malnutrition (E40-E46)"	"GR113-048"	"2003"	"2003"	3153	290107933	1.1
	"Malnutrition (E40-E46)"	"GR113-048"	"2004"	"2004"	2847	292805298	1.0
	"Malnutrition (E40-E46)"	"GR113-048"	"2005"	"2005"	3003	295516599	1.0
	"Malnutrition (E40-E46)"	"GR113-048"	"2006"	"2006"	2377	298379912	0.8
	"Malnutrition (E40-E46)"	"GR113-048"	"2007"	"2007"	2644	301231207	0.9
	"Malnutrition (E40-E46)"	"GR113-048"	"2008"	"2008"	2760	304093966	0.9
	"Malnutrition (E40-E46)"	"GR113-048"	"2009"	"2009"	2680	306771529	0.9
	"Malnutrition (E40-E46)"	"GR113-048"	"2010"	"2010"	2790	308745538	0.9
	"Malnutrition (E40-E46)"	"GR113-048"	"2011"	"2011"	3009	311591917	1.0
	"Malnutrition (E40-E46)"	"GR113-048"	"2012"	"2012"	3014	313914040	1.0
	"Malnutrition (E40-E46)"	"GR113-048"	"2013"	"2013"	3224	316128839	1.0
	"Malnutrition (E40-E46)"	"GR113-048"	"2014"	"2014"	3933	318857056	1.2
	"Malnutrition (E40-E46)"	"GR113-048"	"2015"	"2015"	5010	321418820	1.6
	"Malnutrition (E40-E46)"	"GR113-048"	"2016"	"2016"	6127	323127513	1.9
	"Malnutrition (E40-E46)"	"GR113-048"	"2017"	"2017"	7592	325719178	2.3
	"Malnutrition (E40-E46)"	"GR113-048"	"2018"	"2018"	9335	327167434	2.9
	"Malnutrition (E40-E46)"	"GR113-048"	"2019"	"2019"	11252	328239523	3.4
	"Malnutrition (E40-E46)"	"GR113-048"	"2020 "	"2020"	14337	329484123	4.4
	"Other nutritional deficiencies (E50-E64)"	"GR113-049"	"1999"	"1999"	304	279040168	0.1
	"Other nutritional deficiencies (E50-E64)"	"GR113-049"	"2000"	"2000"	316	281421906	0.1
	"Other nutritional deficiencies (E50-E64)"	"GR113-049"	"2001"	"2001"	250	284968955	0.1
	"Other nutritional deficiencies (E50-E64)"	"GR113-049"	"2002"	"2002"	269	287625193	0.1
	"Other nutritional deficiencies (E50-E64)"	"GR113-049"	"2003"	"2003"	185	290107933	0.1
	"Other nutritional deficiencies (E50-E64)"	"GR113-049"	"2004"	"2004"	172	292805298	0.1
	"Other nutritional deficiencies (E50-E64)"	"GR113-049"	"2005"	"2005"	180	295516599	0.1
	"Other nutritional deficiencies (E50-E64)"	"GR113-049"	"2006"	"2006"	179	298379912	0.1
	"Other nutritional deficiencies (E50-E64)"	"GR113-049"	"2007"	"2007"	208	301231207	0.1
	"Other nutritional deficiencies (E50-E64)"	"GR113-049"	"2008"	"2008"	216	304093966	0.1
	"Other nutritional deficiencies (E50-E64)"	"GR113-049"	"2009"	"2009"	170	306771529	0.1
	"Other nutritional deficiencies (E50-E64)"	"GR113-049"	"2010"	"2010"	158	308745538	0.1
	"Other nutritional deficiencies (E50-E64)"	"GR113-049"	"2011"	"2011"	182	311591917	0.1
	"Other nutritional deficiencies (E50-E64)"	"GR113-049"	"2012"	"2012"	181	313914040	0.1
	"Other nutritional deficiencies (E50-E64)"	"GR113-049"	"2013"	"2013"	158	316128839	0.0
	"Other nutritional deficiencies (E50-E64)"	"GR113-049"	"2014"	"2014"	177	318857056	0.1
	"Other nutritional deficiencies (E50-E64)"	"GR113-049"	"2015"	"2015"	212	321418820	0.1
	"Other nutritional deficiencies (E50-E64)"	"GR113-049"	"2016"	"2016"	202	323127513	0.1
	"Other nutritional deficiencies (E50-E64)"	"GR113-049"	"2017"	"2017"	254	325719178	0.1
	"Other nutritional deficiencies (E50-E64)"	"GR113-049"	"2018"	"2018"	284	327167434	0.1
	"Other nutritional deficiencies (E50-E64)"	"GR113-049"	"2019"	"2019"	318	328239523	0.1
	"Other nutritional deficiencies (E50-E64)"	"GR113-049"	"2020 "	"2020"	345	329484123	0.1
	"#Meningitis (G00,G03)"	"GR113-050"	"1999"	"1999"	850	279040168	0.3
	"#Meningitis (G00,G03)"	"GR113-050"	"2000"	"2000"	758	281421906	0.3
	"#Meningitis (G00,G03)"	"GR113-050"	"2001"	"2001"	727	284968955	0.3
	"#Meningitis (G00,G03)"	"GR113-050"	"2002"	"2002"	700	287625193	0.2
	"#Meningitis (G00,G03)"	"GR113-050"	"2003"	"2003"	730	290107933	0.3
	"#Meningitis (G00,G03)"	"GR113-050"	"2004"	"2004"	674	292805298	0.2
	"#Meningitis (G00,G03)"	"GR113-050"	"2005"	"2005"	669	295516599	0.2
	"#Meningitis (G00,G03)"	"GR113-050"	"2006"	"2006"	634	298379912	0.2
	"#Meningitis (G00,G03)"	"GR113-050"	"2007"	"2007"	655	301231207	0.2
	"#Meningitis (G00,G03)"	"GR113-050"	"2008"	"2008"	633	304093966	0.2
	"#Meningitis (G00,G03)"	"GR113-050"	"2009"	"2009"	649	306771529	0.2
	"#Meningitis (G00,G03)"	"GR113-050"	"2010"	"2010"	608	308745538	0.2
	"#Meningitis (G00,G03)"	"GR113-050"	"2011"	"2011"	611	311591917	0.2
	"#Meningitis (G00,G03)"	"GR113-050"	"2012"	"2012"	551	313914040	0.2
	"#Meningitis (G00,G03)"	"GR113-050"	"2013"	"2013"	584	316128839	0.2
	"#Meningitis (G00,G03)"	"GR113-050"	"2014"	"2014"	538	318857056	0.2
	"#Meningitis (G00,G03)"	"GR113-050"	"2015"	"2015"	555	321418820	0.2
	"#Meningitis (G00,G03)"	"GR113-050"	"2016"	"2016"	561	323127513	0.2
	"#Meningitis (G00,G03)"	"GR113-050"	"2017"	"2017"	615	325719178	0.2
	"#Meningitis (G00,G03)"	"GR113-050"	"2018"	"2018"	632	327167434	0.2
	"#Meningitis (G00,G03)"	"GR113-050"	"2019"	"2019"	583	328239523	0.2
	"#Meningitis (G00,G03)"	"GR113-050"	"2020 "	"2020"	522	329484123	0.2
	"#Parkinson disease (G20-G21)"	"GR113-051"	"1999"	"1999"	14593	279040168	5.2
	"#Parkinson disease (G20-G21)"	"GR113-051"	"2000"	"2000"	15682	281421906	5.6
	"#Parkinson disease (G20-G21)"	"GR113-051"	"2001"	"2001"	16544	284968955	5.8
	"#Parkinson disease (G20-G21)"	"GR113-051"	"2002"	"2002"	16959	287625193	5.9
	"#Parkinson disease (G20-G21)"	"GR113-051"	"2003"	"2003"	17997	290107933	6.2
	"#Parkinson disease (G20-G21)"	"GR113-051"	"2004"	"2004"	17989	292805298	6.1
	"#Parkinson disease (G20-G21)"	"GR113-051"	"2005"	"2005"	19544	295516599	6.6
	"#Parkinson disease (G20-G21)"	"GR113-051"	"2006"	"2006"	19566	298379912	6.6
	"#Parkinson disease (G20-G21)"	"GR113-051"	"2007"	"2007"	20058	301231207	6.7
	"#Parkinson disease (G20-G21)"	"GR113-051"	"2008"	"2008"	20483	304093966	6.7
	"#Parkinson disease (G20-G21)"	"GR113-051"	"2009"	"2009"	20565	306771529	6.7
	"#Parkinson disease (G20-G21)"	"GR113-051"	"2010"	"2010"	22032	308745538	7.1
	"#Parkinson disease (G20-G21)"	"GR113-051"	"2011"	"2011"	23111	311591917	7.4
	"#Parkinson disease (G20-G21)"	"GR113-051"	"2012"	"2012"	23818	313914040	7.6
	"#Parkinson disease (G20-G21)"	"GR113-051"	"2013"	"2013"	25196	316128839	8.0
	"#Parkinson disease (G20-G21)"	"GR113-051"	"2014"	"2014"	26150	318857056	8.2
	"#Parkinson disease (G20-G21)"	"GR113-051"	"2015"	"2015"	27972	321418820	8.7
	"#Parkinson disease (G20-G21)"	"GR113-051"	"2016"	"2016"	29697	323127513	9.2
	"#Parkinson disease (G20-G21)"	"GR113-051"	"2017"	"2017"	31963	325719178	9.8
	"#Parkinson disease (G20-G21)"	"GR113-051"	"2018"	"2018"	33829	327167434	10.3
	"#Parkinson disease (G20-G21)"	"GR113-051"	"2019"	"2019"	35311	328239523	10.8
	"#Parkinson disease (G20-G21)"	"GR113-051"	"2020 "	"2020"	40284	329484123	12.2
	"#Alzheimer disease (G30)"	"GR113-052"	"1999"	"1999"	44536	279040168	16.0
	"#Alzheimer disease (G30)"	"GR113-052"	"2000"	"2000"	49558	281421906	17.6
	"#Alzheimer disease (G30)"	"GR113-052"	"2001"	"2001"	53852	284968955	18.9
	"#Alzheimer disease (G30)"	"GR113-052"	"2002"	"2002"	58866	287625193	20.5
	"#Alzheimer disease (G30)"	"GR113-052"	"2003"	"2003"	63457	290107933	21.9
	"#Alzheimer disease (G30)"	"GR113-052"	"2004"	"2004"	65965	292805298	22.5
	"#Alzheimer disease (G30)"	"GR113-052"	"2005"	"2005"	71599	295516599	24.2
	"#Alzheimer disease (G30)"	"GR113-052"	"2006"	"2006"	72432	298379912	24.3
	"#Alzheimer disease (G30)"	"GR113-052"	"2007"	"2007"	74632	301231207	24.8
	"#Alzheimer disease (G30)"	"GR113-052"	"2008"	"2008"	82435	304093966	27.1
	"#Alzheimer disease (G30)"	"GR113-052"	"2009"	"2009"	79003	306771529	25.8
	"#Alzheimer disease (G30)"	"GR113-052"	"2010"	"2010"	83494	308745538	27.0
	"#Alzheimer disease (G30)"	"GR113-052"	"2011"	"2011"	84974	311591917	27.3
	"#Alzheimer disease (G30)"	"GR113-052"	"2012"	"2012"	83637	313914040	26.6
	"#Alzheimer disease (G30)"	"GR113-052"	"2013"	"2013"	84767	316128839	26.8
	"#Alzheimer disease (G30)"	"GR113-052"	"2014"	"2014"	93541	318857056	29.3
	"#Alzheimer disease (G30)"	"GR113-052"	"2015"	"2015"	110561	321418820	34.4
	"#Alzheimer disease (G30)"	"GR113-052"	"2016"	"2016"	116103	323127513	35.9
	"#Alzheimer disease (G30)"	"GR113-052"	"2017"	"2017"	121404	325719178	37.3
	"#Alzheimer disease (G30)"	"GR113-052"	"2018"	"2018"	122019	327167434	37.3
	"#Alzheimer disease (G30)"	"GR113-052"	"2019"	"2019"	121499	328239523	37.0
	"#Alzheimer disease (G30)"	"GR113-052"	"2020 "	"2020"	134242	329484123	40.7
	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	"1999"	"1999"	950314	279040168	340.6
	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	"2000"	"2000"	936923	281421906	332.9
	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	"2001"	"2001"	922334	284968955	323.7
	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	"2002"	"2002"	918628	287625193	319.4
	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	"2003"	"2003"	902443	290107933	311.1
	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	"2004"	"2004"	861190	292805298	294.1
	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	"2005"	"2005"	856030	295516599	289.7
	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	"2006"	"2006"	823746	298379912	276.1
	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	"2007"	"2007"	806156	301231207	267.6
	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	"2008"	"2008"	804483	304093966	264.6
	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	"2009"	"2009"	780624	306771529	254.5
	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	"2010"	"2010"	780213	308745538	252.7
	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	"2011"	"2011"	779109	311591917	250.0
	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	"2012"	"2012"	782985	313914040	249.4
	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	"2013"	"2013"	796494	316128839	252.0
	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	"2014"	"2014"	803227	318857056	251.9
	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	"2015"	"2015"	832024	321418820	258.9
	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	"2016"	"2016"	835947	323127513	258.7
	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	"2017"	"2017"	854390	325719178	262.3
	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	"2018"	"2018"	863834	327167434	264.0
	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	"2019"	"2019"	869883	328239523	265.0
	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	"2020 "	"2020"	923237	329484123	280.2
	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	"1999"	"1999"	725192	279040168	259.9
	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	"2000"	"2000"	710760	281421906	252.6
	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	"2001"	"2001"	700142	284968955	245.7
	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	"2002"	"2002"	696947	287625193	242.3
	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	"2003"	"2003"	685089	290107933	236.1
	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	"2004"	"2004"	652486	292805298	222.8
	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	"2005"	"2005"	652091	295516599	220.7
	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	"2006"	"2006"	631636	298379912	211.7
	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	"2007"	"2007"	616067	301231207	204.5
	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	"2008"	"2008"	616828	304093966	202.8
	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	"2009"	"2009"	599413	306771529	195.4
	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	"2010"	"2010"	597689	308745538	193.6
	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	"2011"	"2011"	596577	311591917	191.5
	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	"2012"	"2012"	599711	313914040	191.0
	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	"2013"	"2013"	611105	316128839	193.3
	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	"2014"	"2014"	614348	318857056	192.7
	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	"2015"	"2015"	633842	321418820	197.2
	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	"2016"	"2016"	635260	323127513	196.6
	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	"2017"	"2017"	647457	325719178	198.8
	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	"2018"	"2018"	655381	327167434	200.3
	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	"2019"	"2019"	659041	328239523	200.8
	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	"2020 "	"2020"	696962	329484123	211.5
	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	"1999"	"1999"	3676	279040168	1.3
	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	"2000"	"2000"	3582	281421906	1.3
	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	"2001"	"2001"	3489	284968955	1.2
	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	"2002"	"2002"	3579	287625193	1.2
	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	"2003"	"2003"	3624	290107933	1.2
	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	"2004"	"2004"	3254	292805298	1.1
	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	"2005"	"2005"	3365	295516599	1.1
	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	"2006"	"2006"	3257	298379912	1.1
	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	"2007"	"2007"	3201	301231207	1.1
	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	"2008"	"2008"	3141	304093966	1.0
	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	"2009"	"2009"	3234	306771529	1.1
	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	"2010"	"2010"	2987	308745538	1.0
	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	"2011"	"2011"	3105	311591917	1.0
	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	"2012"	"2012"	3088	313914040	1.0
	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	"2013"	"2013"	3260	316128839	1.0
	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	"2014"	"2014"	3281	318857056	1.0
	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	"2015"	"2015"	3372	321418820	1.0
	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	"2016"	"2016"	3553	323127513	1.1
	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	"2017"	"2017"	3320	325719178	1.0
	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	"2018"	"2018"	3560	327167434	1.1
	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	"2019"	"2019"	3647	328239523	1.1
	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	"2020 "	"2020"	3876	329484123	1.2
	"Hypertensive heart disease (I11)"	"GR113-056"	"1999"	"1999"	22702	279040168	8.1
	"Hypertensive heart disease (I11)"	"GR113-056"	"2000"	"2000"	23761	281421906	8.4
	"Hypertensive heart disease (I11)"	"GR113-056"	"2001"	"2001"	24689	284968955	8.7
	"Hypertensive heart disease (I11)"	"GR113-056"	"2002"	"2002"	26551	287625193	9.2
	"Hypertensive heart disease (I11)"	"GR113-056"	"2003"	"2003"	28345	290107933	9.8
	"Hypertensive heart disease (I11)"	"GR113-056"	"2004"	"2004"	28585	292805298	9.8
	"Hypertensive heart disease (I11)"	"GR113-056"	"2005"	"2005"	29282	295516599	9.9
	"Hypertensive heart disease (I11)"	"GR113-056"	"2006"	"2006"	29788	298379912	10.0
	"Hypertensive heart disease (I11)"	"GR113-056"	"2007"	"2007"	30780	301231207	10.2
	"Hypertensive heart disease (I11)"	"GR113-056"	"2008"	"2008"	32391	304093966	10.7
	"Hypertensive heart disease (I11)"	"GR113-056"	"2009"	"2009"	33157	306771529	10.8
	"Hypertensive heart disease (I11)"	"GR113-056"	"2010"	"2010"	33678	308745538	10.9
	"Hypertensive heart disease (I11)"	"GR113-056"	"2011"	"2011"	33621	311591917	10.8
	"Hypertensive heart disease (I11)"	"GR113-056"	"2012"	"2012"	35072	313914040	11.2
	"Hypertensive heart disease (I11)"	"GR113-056"	"2013"	"2013"	37144	316128839	11.7
	"Hypertensive heart disease (I11)"	"GR113-056"	"2014"	"2014"	38721	318857056	12.1
	"Hypertensive heart disease (I11)"	"GR113-056"	"2015"	"2015"	41688	321418820	13.0
	"Hypertensive heart disease (I11)"	"GR113-056"	"2016"	"2016"	43734	323127513	13.5
	"Hypertensive heart disease (I11)"	"GR113-056"	"2017"	"2017"	47523	325719178	14.6
	"Hypertensive heart disease (I11)"	"GR113-056"	"2018"	"2018"	51524	327167434	15.7
	"Hypertensive heart disease (I11)"	"GR113-056"	"2019"	"2019"	55355	328239523	16.9
	"Hypertensive heart disease (I11)"	"GR113-056"	"2020 "	"2020"	65701	329484123	19.9
	"Hypertensive heart and renal disease (I13)"	"GR113-057"	"1999"	"1999"	3327	279040168	1.2
	"Hypertensive heart and renal disease (I13)"	"GR113-057"	"2000"	"2000"	2785	281421906	1.0
	"Hypertensive heart and renal disease (I13)"	"GR113-057"	"2001"	"2001"	2826	284968955	1.0
	"Hypertensive heart and renal disease (I13)"	"GR113-057"	"2002"	"2002"	2895	287625193	1.0
	"Hypertensive heart and renal disease (I13)"	"GR113-057"	"2003"	"2003"	3108	290107933	1.1
	"Hypertensive heart and renal disease (I13)"	"GR113-057"	"2004"	"2004"	3046	292805298	1.0
	"Hypertensive heart and renal disease (I13)"	"GR113-057"	"2005"	"2005"	3172	295516599	1.1
	"Hypertensive heart and renal disease (I13)"	"GR113-057"	"2006"	"2006"	2918	298379912	1.0
	"Hypertensive heart and renal disease (I13)"	"GR113-057"	"2007"	"2007"	2987	301231207	1.0
	"Hypertensive heart and renal disease (I13)"	"GR113-057"	"2008"	"2008"	2872	304093966	0.9
	"Hypertensive heart and renal disease (I13)"	"GR113-057"	"2009"	"2009"	2871	306771529	0.9
	"Hypertensive heart and renal disease (I13)"	"GR113-057"	"2010"	"2010"	2807	308745538	0.9
	"Hypertensive heart and renal disease (I13)"	"GR113-057"	"2011"	"2011"	3649	311591917	1.2
	"Hypertensive heart and renal disease (I13)"	"GR113-057"	"2012"	"2012"	3924	313914040	1.3
	"Hypertensive heart and renal disease (I13)"	"GR113-057"	"2013"	"2013"	4028	316128839	1.3
